City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
283,Nouadhibou,MR,67.98,clear sky,20.930999999999997,-17.0347,El Medina
284,Popondetta,PG,77.2,light rain,-8.7537,148.2534,Timos Transit House
285,Port Lavaca,US,77.99,clear sky,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
286,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
288,Nyimba,ZM,56.89,clear sky,-14.5566,30.8149,Dali Dali Lodge
289,Peniche,PT,59.74,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
290,Gornopravdinsk,RU,65.07,scattered clouds,60.05,69.9,Burovik
291,Pechenga,RU,50.86,broken clouds,69.5259,31.1703,
292,Sao Francisco,BR,68.74,clear sky,-15.9486,-44.8644,Hotel Supremo
293,Rio Grande,BR,65.23,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
294,Constitucion,CL,51.89,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
295,Tornio,FI,55.42,broken clouds,65.8481,24.1466,Park Hotel Tornio
298,Lokosovo,RU,61.23,broken clouds,61.1333,74.8167,
299,Udachnyy,RU,52.3,overcast clouds,66.4167,112.4,Severnoye Siyaniye
300,Poum,NC,74.91,few clouds,-20.2333,164.0167,Gîte kajeon
302,Constantine,DZ,65.61,broken clouds,36.365,6.6147,Grand Hotel Cirta
303,Tabuleiro Do Norte,BR,71.6,clear sky,-5.2467,-38.1306,Hotel Central I
305,Namibe,AO,70.56,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
306,Taldan,RU,70.88,clear sky,53.6667,124.8,
307,Henties Bay,NA,72.86,clear sky,-22.116,14.2845,Fishermans Guest House
310,Halifax,CA,63.41,overcast clouds,44.6453,-63.5724,Hotel Halifax
312,Bafia,CM,70.23,light rain,4.75,11.2333,Ets MAISON BLANCHE
313,Bandarbeyla,SO,81.21,broken clouds,9.4942,50.8122,JABIR HOTEL
314,Tateyama,JP,75.22,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
315,San Giovanni Rotondo,IT,56.82,few clouds,41.7049,15.7191,Hotel Gran Paradiso
316,Baoshan,CN,64.83,scattered clouds,46.5586,131.4244,Kelaixiang Restaurant
317,Erenhot,CN,76.69,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
318,Columbus,US,72.43,clear sky,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
320,Lompoc,US,61.57,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
322,Slave Lake,CA,64.38,broken clouds,55.2834,-114.76899999999999,Super 8 by Wyndham Slave Lake AB
323,Tupik,RU,72.01,clear sky,54.4253,119.9327,Guest House Orkhideya
324,Kathu,TH,83.7,moderate rain,7.9178,98.3332,Novotel Phuket Resort
325,Telica,NI,79.93,broken clouds,12.522,-86.8594,Residencias Telica
326,Hornepayne,CA,60.37,overcast clouds,49.2138,-84.7705,Jackfish River Inn
327,Naze,JP,70.72,light rain,28.3667,129.4833,奄美ポートタワーホテル
328,Bonavista,CA,55.4,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
329,Marsh Harbour,BS,78.17,broken clouds,26.5412,-77.0636,Abaco Beach Resort
330,Porto Novo,BJ,75.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
332,Cayenne,GF,78.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
333,Asau,RO,54.75,broken clouds,46.4333,26.4,Casa Mika Ciobanus
334,Sokoni,TZ,79.09,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
335,Belyy Yar,RU,57.09,moderate rain,53.6039,91.3903,Pasportnyy Stol
336,Corinto,GR,68.68,clear sky,37.9407,22.9573,Ephira Hotel
337,Wakkanai,JP,64.38,broken clouds,45.4094,141.6739,Hyōsetsu-sō
339,Haicheng,CN,76.98,scattered clouds,40.8516,122.7475,Haicheng Grand Hotel
340,Fredericksburg,US,73.38,mist,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
341,Hamilton,US,71.35,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
343,Bentiu,SS,75.56,broken clouds,9.2333,29.8333,Mandela hôtel
345,Lata,PT,55.72,few clouds,40.1629,-8.3327,Casa Maquia
346,Mkushi,ZM,51.93,clear sky,-13.6202,29.3939,Mkushi Police Club
347,Iracoubo,GF,77.22,light rain,5.4802,-53.2011,Le Gite D Iracoubo
348,Itarema,BR,77.25,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
349,Savonlinna,FI,59.05,clear sky,61.8699,28.88,Spahotel Casino
350,Marystown,CA,52.86,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
351,Lincoln,US,82.47,few clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
352,Ajdabiya,LY,67.26,clear sky,30.7554,20.2263,Almadina Hotel
353,Raudeberg,NO,56.19,overcast clouds,61.9875,5.1352,Nordre Silda.
354,Jasper,US,71.04,clear sky,37.2001,-94.3502,Guest House Motel
355,Wailuku,US,81.55,few clouds,20.8911,-156.5047,Maui Beach Hotel
356,Hammond,US,80.8,clear sky,41.5834,-87.5,"Residence Inn by Marriott Chicago Southeast/Hammond, IN"
358,Chama,CH,63.05,fog,47.1821,8.4636,City Garden Hotel
359,Chambersburg,US,71.04,clear sky,39.9376,-77.6611,"Holiday Inn Express & Suites Chambersburg, an IHG Hotel"
361,Abu Samrah,SY,65.66,clear sky,35.3029,37.1841,
362,Abnub,EG,68.22,clear sky,27.2696,31.1511,Romany Adly Gad
363,Vila Velha,BR,69.94,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
365,Vizinga,RU,69.82,few clouds,61.0749,50.1031,"Gostinitsa ""Nadezhda"""
366,Duncan,US,72.05,clear sky,34.5023,-97.9578,Days Inn by Wyndham Duncan
368,Yerbogachen,RU,55.76,overcast clouds,61.2767,108.0108,
369,Selenginsk,RU,75.61,few clouds,52.0064,106.8647,Selenga
370,Malindi,KE,78.96,light rain,-3.2175,40.1191,African House Resort
371,Kargasok,RU,55.35,few clouds,59.0556,80.8572,Hotel Kargasok
373,Zyryanka,RU,75.07,scattered clouds,65.75,150.85,
374,Krasnyy Chikoy,RU,79.79,clear sky,50.3643,108.7512,Persona
377,Sheltozero,RU,56.48,clear sky,61.3667,35.3667,The village of Vanino
379,Villa Carlos Paz,AR,62.38,overcast clouds,-31.4241,-64.4978,Monte Carlo
381,Troitsko-Pechorsk,RU,72.72,broken clouds,62.7084,56.1964,Pechora Gostinitsa
382,Khani,GE,51.37,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
384,Makakilo City,US,82.72,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
385,Hasaki,JP,77.29,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
386,Carson City,US,84.74,clear sky,39.1638,-119.7674,Courtyard by Marriott Carson City
387,Sibolga,ID,77.65,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
388,Sao Filipe,CV,73.36,scattered clouds,14.8961,-24.4956,Hotel Xaguate
389,Hirara,JP,80.46,heavy intensity rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
390,Tarko-Sale,RU,52.0,overcast clouds,64.9225,77.785,Yubileynaya
393,Birao,CF,78.21,overcast clouds,10.2849,22.7882,
397,Pincher Creek,CA,71.29,clear sky,49.4833,-113.95200000000001,BLUE MOUNTAIN MOTEL
398,Kabinda,CD,70.45,broken clouds,-6.1333,24.4833,Village Mianda Mutole
400,Emerald,AU,69.94,clear sky,-23.5333,148.1667,The Irish Village
402,Shingu,JP,76.19,overcast clouds,33.7333,135.9833,Shingu UI Hotel
405,Tura,IN,83.41,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
406,Odweyne,SO,72.41,scattered clouds,9.4092,45.06399999999999,Eng Hiirey House
407,Mount Isa,AU,71.37,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
409,Kavaratti,IN,82.6,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
410,Khorinsk,RU,78.8,clear sky,52.1657,109.7726,Uda
411,Kaputa,ZM,67.93,broken clouds,-8.4689,29.6619,Chelelwa Charlets
413,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,Ikathouse
414,Paranagua,BR,72.77,scattered clouds,-25.52,-48.5092,Hotel Camboa Paranaguá
416,Paita,PE,67.73,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
418,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
420,Ucluelet,CA,53.1,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
423,Bar Harbor,US,64.67,clear sky,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
424,Rincon,US,78.85,scattered clouds,32.296,-81.2354,Days Inn Rincon
425,Ostrovnoy,RU,51.96,broken clouds,68.0531,39.5131,
428,Kibala,TD,75.29,overcast clouds,9.1104,18.3463,hotel safari
